Bedrooms,Bathrooms,Square Footage,Address,Price
"2
beds",2,"1,200
sq.ft.","9429 S Leavitt Street Chicago, IL 60643","$350,000"
"2
beds",2,"1,368
sq.ft.","505 N Mcclurg Court 4505 Chicago, IL 60611","$749,995"
"3
beds",3,"2,688
sq.ft.","5443 S Rutherford Avenue Chicago, IL 60638","$669,900"
"4
beds",4,"4,000
sq.ft.","1934 N BISSELL Street Chicago, IL 60614","$1,895,000"
"2
beds",2,"1,300
sq.ft.","324 N Jefferson Street 107 Chicago, IL 60661","$479,900"
"2
beds",2,"1,149
sq.ft.","303 W OHIO Street 1906 Chicago, IL 60654","$475,000"
"2
beds",2,"1,550
sq.ft.","130 S CANAL Street 619 Chicago, IL 60606","$440,000"
"6
beds",4,"5,004
sq.ft.","839 W Webster Avenue Chicago, IL 60614","$3,450,000"
"4
beds",3,"4,500
sq.ft.","1919 N SHEFFIELD Avenue 3 Chicago, IL 60614","$1,999,900"
"3
beds",4,"5,020
sq.ft.","333 W Hubbard Street 1006 Chicago, IL 60654","$1,975,000"
"4
beds",4,"4,200
sq.ft.","3057 N Leavitt Avenue Chicago, IL 60618","$1,799,900"
"3
beds",2,"1,898
sq.ft.","5114 S Kenwood Avenue PHA Chicago, IL 60615","$1,100,000"
"3
beds",4,"2,900
sq.ft.","3621 N Richmond Street Chicago, IL 60618","$999,999"
"2
beds",2,"1,850
sq.ft.","1212 N Lake Shore Drive 12CN Chicago, IL 60610","$899,000"
"2
beds",2,"1,630
sq.ft.","65 E Monroe Street 4521 Chicago, IL 60603","$769,000"
"4
beds",4,"2,032
sq.ft.","2719 N 74th Court Elmwood Park, IL 60707","$595,000"
"2
beds",2,"1,395
sq.ft.","474 N Lake Shore Drive 6102 Chicago, IL 60611","$567,070"
"2
beds",2,"1,200
sq.ft.","500 W Superior Street 1202 Chicago, IL 60654","$515,000"
"2
beds",2,"1,735
sq.ft.","7727 W Jerome Street Chicago, IL 60631","$489,000"
"3
beds",2,"1,201
sq.ft.","8014 W Summerdale Avenue Chicago, IL 60656","$475,000"
"2
beds",2,"1,226
sq.ft.","1600 S Prairie Avenue 1204 Chicago, IL 60616","$475,000"
"3
beds",1,"1,407
sq.ft.","4036 W Warwick Avenue Chicago, IL 60641","$475,000"
"3
beds",1,"1,432
sq.ft.","670 W Irving Park Road 6 Chicago, IL 60613","$449,000"
"2
beds",2,"1,200
sq.ft.","2848 N ALBANY Avenue 2S Chicago, IL 60618","$424,900"
"2
beds",2,"1,250
sq.ft.","1329 W Fillmore Street 3 Chicago, IL 60607","$404,000"
"2
beds",2,"1,300
sq.ft.","125 E 13TH Street 1002 Chicago, IL 60605","$400,000"
"1
beds",1,"1,071
sq.ft.","160 E Illinois Street 1605 Chicago, IL 60611","$399,000"
"1
beds",1,"1,005
sq.ft.","333 W Hubbard Street 608 Chicago, IL 60654","$395,000"
"4
beds",2,"1,984
sq.ft.","2245 N Kilbourn Avenue Chicago, IL 60639","$382,500"
"1
beds",1,"826
sq.ft.","420 E Waterside Drive 1302 Chicago, IL 60601","$360,000"
"2
beds",2,"1,200
sq.ft.","1645 W Ogden Avenue 516 Chicago, IL 60612","$359,900"
"3
beds",2,"1,248
sq.ft.","4223 W 82 Street Chicago, IL 60652","$320,000"
"5
beds",2,"1,621
sq.ft.","9945 S California Avenue Chicago, IL 60655","$319,900"
"1
beds",1,"980
sq.ft.","3600 N Lake Shore Drive 2412 Chicago, IL 60613","$304,900"
"1
beds",1,"937
sq.ft.","770 W Gladys Avenue 204 Chicago, IL 60661","$300,000"
"3
beds",1,"1,500
sq.ft.","5238 S Hamlin Avenue Chicago, IL 60632","$299,950"
"2
beds",1,"850
sq.ft.","3550 N LAKE Shore Drive 810 Chicago, IL 60657","$299,000"
"3
beds",3,"1,700
sq.ft.","1700 E 56th Street 801 Chicago, IL 60637","$280,000"
"6
beds",3,"1,760
sq.ft.","8532 S HOUSTON Avenue Chicago, IL 60617","$275,000"
"2
beds",1,"701
sq.ft.","1952 W George Street 1 Chicago, IL 60657","$264,900"
"1
beds",1,"900
sq.ft.","1500 W Monroe Street 117 Chicago, IL 60607","$255,000"
