bedrooms,bathrooms,square_footage,address,price
3,2,1440,"9002 S Morgan Street Chicago, IL 60620",299900.0
1,1,875,"899 S Plymouth Court 1607 Chicago, IL 60605",205000.0
3,1,1131,"221 E 89TH Place Chicago, IL 60619",145000.0
2,1,1000,"3117 S Laramie Avenue 3N Cicero, IL 60804",144000.0
3,1,1192,"10418 S Calumet Avenue Chicago, IL 60628",130000.0
2,1,900,"Chicago, IL 60660",129900.0
3,3,2110,"6 S Laflin Street 910 Chicago, IL 60607",950000.0
3,3,2800,"3800 N Lake Shore Drive 2C Chicago, IL 60613",800000.0
3,2,3000,"524 W Barry Avenue Chicago, IL 60657",779000.0
3,3,1950,"3209 N Kildare Avenue Chicago, IL 60641",745000.0
3,3,2500,"4129 N Oketo Avenue Norridge, IL 60706",679000.0
4,4,2769,"1726 W 106th Street Chicago, IL 60643",649900.0
4,2,2100,"4119 N Leclaire Avenue Chicago, IL 60641",625000.0
2,2,1494,"240 E Illinois Street 607 Chicago, IL 60611",525000.0
2,2,1200,"1708 W Cermak Road 3W Chicago, IL 60608",450000.0
2,2,1290,"233 E 13th Street 601 Chicago, IL 60605",448000.0
2,1,1478,"10041 S Saint Louis Avenue Evergreen Park, IL 60805",399900.0
3,2,1214,"8841 S Utica Street Evergreen Park, IL 60805",385900.0
4,2,1452,"3217 W 64th Place Chicago, IL 60629",385000.0
2,2,1200,"1901 S Calumet Avenue 1405 Chicago, IL 60616",375000.0
4,3,1800,"5830 W Rice Street Chicago, IL 60651",375000.0
4,2,1542,"3936 W 116 Street Alsip, IL 60803",305000.0
3,3,2000,"11339 S Avenue M Avenue Chicago, IL 60617",299000.0
2,2,1458,"10246 S Vernon Avenue Chicago, IL 60628",269900.0
2,2,1250,"6400 W Belle Plaine Avenue 303 Chicago, IL 60634",267500.0
3,1,1050,"9310 S Eggleston Avenue Chicago, IL 60620",259000.0
1,1,700,"2 S Leavitt Street 206 Chicago, IL 60612",255000.0
2,1,797,"7201 W Wellington Street D-1 Elmwood Park, IL 60707",255000.0
3,1,1040,"13029 S Burley Avenue Chicago, IL 60633",255000.0
4,1,1000,"7342 S Aberdeen Street Chicago, IL 60621",232000.0
3,2,2029,"10447-10449 S Avenue N Chicago, IL 60617",219900.0
2,1,1100,"5459 S Ingleside Avenue 2S Chicago, IL 60615",215000.0
3,1,1100,"9214 S Woodlawn Avenue Chicago, IL 60619",180000.0
3,1,1104,"1434 W 123rd Street Chicago, IL 60643",139900.0
1,1,800,"5148 S King Drive B3 Chicago, IL 60615",83000.0
4,2,1386,"7244 S Sangamon Street Chicago, IL 60621",71900.0
6,2,2310,"12901 S Muskegon Avenue Chicago, IL 60633",299901.0
4,3,2914,"9556 S Winchester Avenue Chicago, IL 60643",849900.0
3,2,2200,"2922 W Lyndale Street 1 Chicago, IL 60647",735000.0
3,2,1750,"2448 N Clybourn Avenue 3 Chicago, IL 60614",725000.0
3,2,2054,"7314 N ODELL Avenue Chicago, IL 60631",675000.0
4,3,3500,"3036 N Long Avenue Chicago, IL 60641",620000.0
3,3,2844,"3529 N Nottingham Avenue Chicago, IL 60634",549500.0
3,2,1700,"3523 W Hirsch Street Chicago, IL 60651",544900.0
2,2,1250,"33 W ONTARIO Street 21H Chicago, IL 60654",495000.0
5,2,2317,"5501 W BYRON Street Chicago, IL 60641",485000.0
2,2,1257,"474 N Lake Shore Drive 2408 Chicago, IL 60611",475000.0
