bedrooms,bathrooms,square_footage,address,price
2,2,1430,"990 N Lake Shore Drive 29B Chicago, IL 60611",575000
2,2,1400,"3010 N SHEFFIELD Avenue 2N Chicago, IL 60657",549500
3,3,2321,"1512 N Campbell Avenue 1 Chicago, IL 60622",525000
2,2,1350,"2800 N Lake Shore Drive 2417 Chicago, IL 60657",509000
3,3,2600,"5301 N Oriole Avenue Chicago, IL 60656",499900
3,2,1800,"2020 W Farragut Avenue 2 Chicago, IL 60625",495000
2,2,1225,"510 W Erie Street 1106 Chicago, IL 60654",479000
2,2,1272,"421 W Huron Street 1009 Chicago, IL 60654",475000
2,2,1550,"200 E Delaware Place 13F Chicago, IL 60610",450000
2,2,1400,"1250 N Dearborn Street 6A Chicago, IL 60610",449900
3,3,1700,"3627 N Pittsburgh Avenue Chicago, IL 60634",429900
3,3,2245,"7614 S Chappel Avenue Chicago, IL 60649",394999
